"","respID","qID","altID","obsID","price","time","agent","location"
"1",1,1,1,1,"$10","In 7 days","Human","Neighborhood locker"
"2",1,1,2,1,"$25","In 7 days","Human","Neighborhood locker"
"3",1,2,1,2,"$30","In 4 days","Human","Doorstep"
"4",1,2,2,2,"$15","In 7 days","Human","Curbside"
"5",1,3,1,3,"$30","Today","Human","Neighborhood locker"
"6",1,3,2,3,"$30","Today","Human","Curbside"
"7",1,4,1,4,"$5","In 7 days","Autnomous robot","Doorstep"
"8",1,4,2,4,"$30","In 7 days","Human","Curbside"
"9",1,5,1,5,"$5","In 4 days","Human","Doorstep"
"10",1,5,2,5,"$5","Today","Human","Neighborhood locker"
"11",1,6,1,6,"$15","In 7 days","Human","Doorstep"
"12",1,6,2,6,"$5","In 4 days","Autnomous robot","Curbside"
"13",1,7,1,7,"$30","Today","Human","Curbside"
"14",1,7,2,7,"$0","Today","Autnomous robot","Doorstep"
"15",1,8,1,8,"$0","Tomorrow","Human","Doorstep"
"16",1,8,2,8,"$20","In 4 days","Autnomous robot","Neighborhood locker"
"17",1,9,1,9,"$20","In 7 days","Human","Doorstep"
"18",1,9,2,9,"$30","Today","Human","Curbside"
"19",1,10,1,10,"$0","In 7 days","Autnomous robot","Curbside"
"20",1,10,2,10,"$5","In 7 days","Autnomous robot","Doorstep"
"21",2,1,1,11,"$10","Tomorrow","Autnomous robot","Neighborhood locker"
"22",2,1,2,11,"$5","In 7 days","Autnomous robot","Neighborhood locker"
"23",2,2,1,12,"$25","In 4 days","Human","Curbside"
"24",2,2,2,12,"$25","Today","Human","Curbside"
"25",2,3,1,13,"$5","Tomorrow","Human","Doorstep"
"26",2,3,2,13,"$10","In 7 days","Autnomous robot","Neighborhood locker"
"27",2,4,1,14,"$20","Tomorrow","Autnomous robot","Doorstep"
"28",2,4,2,14,"$30","In 4 days","Human","Doorstep"
"29",2,5,1,15,"$10","Tomorrow","Autnomous robot","Neighborhood locker"
"30",2,5,2,15,"$20","Tomorrow","Human","Curbside"
"31",2,6,1,16,"$0","In 7 days","Autnomous robot","Neighborhood locker"
"32",2,6,2,16,"$5","Today","Autnomous robot","Curbside"
"33",2,7,1,17,"$30","Today","Human","Curbside"
"34",2,7,2,17,"$30","In 4 days","Human","Neighborhood locker"
"35",2,8,1,18,"$20","Today","Autnomous robot","Doorstep"
"36",2,8,2,18,"$20","In 7 days","Human","Curbside"
"37",2,9,1,19,"$10","Tomorrow","Autnomous robot","Doorstep"
"38",2,9,2,19,"$25","Tomorrow","Autnomous robot","Neighborhood locker"
